libwlaninit.a                        9363             961 
libmaccoreinit.a                      804               8 
libcfg.a                               19               8 
wal_coex.a                          58345            3953 
libwhalini.a                          290               4 
libdatatxrx.a                       12523             484 
libmgmttxrx.a                        4660             201 
libvdevmgr.a                        25568             722 
libkeymgmt.a                          615               4 
libratectrl_11ac.a                  13918             600 
librtt.a                            11199             152 
libplm.a                                0               0 
libphyerr.a                          2561             222 
librfkill.a                           839               4 
libled.a                              648               8 
libumacwmi.a                         4181            3933 
liboffload_mgr.a                    14936            1189 
libmgmt.a                            7387             368 
libpower.a                          31707            1116 
libsmps.a                            4406             234 
libresmgr.a                         18213             288 
libhtc.a                             5449             336 
libhtt.a                            13097            2484 
libsm.a                               885              24 
libcoex.a                            9678             428 
libprofile.a                         1256             152 
libwmisvc.a                          2189             280 
libscan.a                           11208             690 
libroam.a                            9337             228 
libpps.a                             1554             116 
libstats.a                           6928              96 
libpcielp.a                          3461             484 
libpktlog.a                           396             141 
libtbd.a                              246             132 
libp2p.a                            11544             504 
libchatter.a                         3372             124 
libretention.a                          0            6032 
libbufchunk.a                         332              20 
libtxbf.a                            1937            3647 
libtdls.a                           18267             112 
libtcpip.a                           2060              80 
libwlanhb.a                             0               0 
libextendalloc.a                      273              20 
libthermalmgr.a                       237              48 
librmc.a                               37              28 
libere.a                                0               4 
ar_wal_init.a                          11               4 
libwhal_init.a                         35               0 
libwdi_ipa.a                         4725             140 
libtgtrx2tx.a                           0               0 
libserport.a                         1669              24 
libuartserp.a                        1936             178 
lib_hif_dbguart.a                    2992             438 
liblpi.a                             5252             100 
libwlanprofile.a                      585             208 
liboffload.a                        13259             464 
libframegen.a                        6633             144 
liboffload_mgr_stub.a                   0             112 
libcodeswap.a                         803              64 
libscan_stub.a                          0              60 
libblockack.a                        5492             202 
libwlaninit_stub.a                      0             124 
libdatatxrx_stub.a                      0              16 
libvdevmgr_stub.a                       0             136 
libmgmttxrx_stub.a                      0              72 
libmgmt_stub.a                          0             176 
libp2p_stub.a                           0              88 
ar6000_cal.a                        44873           11714 
libsuppl.a                              0               0 
libunittest.a                         143              60 
libframeparse.a                       926              20 
ar_wal_suppl.a                          0               0 
ar_wal_ere.a                           77               0 
ar_wal_nan.a                         1198             144 
libnanwlan.a                        64203            5445 
libextscan.a                        11749            8632 
whal_rtt.a                           3323             391 
ar_wal_rtt.a                         3504             120 
lib_maccore_patches.a               89242            5393 
libminidump.a                           0               0 
libextwow.a                          4520             332 
lib_halphy_patches.a                37970            1997 
app_start.o                           146              25 
athwlan.out                        628505           68572 
